0.2	0.2	0.2	0.2	0.2	
0.18	0.18	0.28	0.18	0.18	
0.16	0.26	0.26	0.16	0.16	
0.14	0.24	0.24	0.24	0.14	
0.12	0.22	0.32	0.22	0.12	
0.1	0.2	0.3	0.2	0.2	
0.18	0.18	0.28	0.18	0.18	
0.16	0.16	0.26	0.26	0.16	
0.14	0.14	0.24	0.24	0.24	
0.12	0.12	0.32	0.22	0.22	
0.1	0.2	0.3	0.2	0.2	
0.18	0.18	0.28	0.18	0.18	
0.16	0.16	0.26	0.16	0.26	
0.24	0.14	0.24	0.14	0.24	
0.22	0.22	0.22	0.12	0.22	
0.3	0.2	0.2	0.1	0.2	
0.28	0.18	0.26	0.1	0.18	
0.26	0.16	0.24	0.18	0.16	
0.24	0.14	0.22	0.26	0.14	
0.22	0.22	0.2	0.24	0.12	
0.2	0.3	0.18	0.22	0.1	
